seed,mode,turns,winner,seat
736,selfplay,300,AI 1,0
737,selfplay,300,AI 4,2
738,selfplay,300,AI 3,0
739,selfplay,300,AI 1,1
740,selfplay,300,AI 4,3
741,selfplay,300,AI 2,0
742,selfplay,300,AI 1,2
743,selfplay,300,AI 1,1
744,selfplay,300,AI 4,3
745,selfplay,300,AI 4,2
746,selfplay,300,AI 2,3
747,selfplay,300,AI 4,0
748,selfplay,300,AI 2,1
749,selfplay,300,AI 4,2
750,selfplay,300,AI 3,0
751,selfplay,300,AI 3,3
752,selfplay,300,AI 2,1
753,selfplay,300,AI 2,0
754,selfplay,300,AI 3,0
755,selfplay,300,AI 2,2
756,selfplay,300,AI 1,0
757,selfplay,300,AI 2,0
758,selfplay,300,AI 3,0
759,selfplay,300,AI 3,3
760,selfplay,300,AI 3,2
761,selfplay,300,AI 2,0
762,selfplay,300,AI 2,3
763,selfplay,300,AI 3,3
764,selfplay,300,AI 4,3
765,selfplay,300,AI 1,3
766,selfplay,300,AI 3,0
767,selfplay,300,AI 4,0
768,selfplay,300,AI 2,1
769,selfplay,300,AI 2,0
770,selfplay,300,AI 2,3
771,selfplay,300,AI 1,1
772,selfplay,300,AI 4,3
773,selfplay,300,AI 2,0
774,selfplay,300,AI 4,1
775,selfplay,300,AI 3,3
776,selfplay,300,AI 3,2
777,selfplay,300,AI 1,3
778,selfplay,300,AI 1,2
779,selfplay,300,AI 2,2
780,selfplay,300,AI 1,0
781,selfplay,300,AI 4,2
782,selfplay,300,AI 1,2
783,selfplay,300,AI 1,1
784,selfplay,300,AI 3,2
785,selfplay,300,AI 3,1
786,selfplay,300,AI 2,3
787,selfplay,300,AI 4,0
788,selfplay,300,AI 4,3
789,selfplay,300,AI 2,0
790,selfplay,300,AI 4,1
791,selfplay,300,AI 2,2
792,selfplay,300,AI 4,3
793,selfplay,300,AI 2,0
794,selfplay,300,AI 2,3
795,selfplay,300,AI 1,1
796,selfplay,300,AI 4,3
797,selfplay,300,AI 1,3
798,selfplay,300,AI 1,2
799,selfplay,300,AI 4,0
800,selfplay,300,AI 2,1
801,selfplay,300,AI 2,0
802,selfplay,300,AI 3,0
803,selfplay,300,AI 3,3
804,selfplay,300,AI 2,1
805,selfplay,300,AI 1,3
806,selfplay,300,AI 4,1
807,selfplay,300,AI 3,3
808,selfplay,300,AI 3,2
809,selfplay,300,AI 2,0
810,selfplay,300,AI 4,1
811,selfplay,300,AI 1,1
812,selfplay,300,AI 1,0
813,selfplay,300,AI 4,2
814,selfplay,300,AI 4,1
815,selfplay,300,AI 2,2
816,selfplay,300,AI 3,2
817,selfplay,300,AI 1,3
818,selfplay,300,AI 1,2
819,selfplay,300,AI 2,2
820,selfplay,300,AI 1,0
821,selfplay,300,AI 2,0
822,selfplay,300,AI 1,2
823,selfplay,300,AI 3,3
824,selfplay,300,AI 2,1
825,selfplay,300,AI 1,3
826,selfplay,300,AI 1,2
827,selfplay,300,AI 4,0
828,selfplay,300,AI 1,0
829,selfplay,300,AI 2,0
830,selfplay,300,AI 1,2
831,selfplay,300,AI 3,3
832,selfplay,300,AI 1,0
833,selfplay,300,AI 1,3
834,selfplay,300,AI 4,1
835,selfplay,300,AI 1,1
836,selfplay,300,AI 2,1
837,selfplay,300,AI 4,2
838,selfplay,300,AI 4,1
839,selfplay,300,AI 3,3
840,selfplay,300,AI 3,2
841,selfplay,300,AI 2,0
842,selfplay,300,AI 4,1
843,selfplay,300,AI 1,1
844,selfplay,300,AI 3,2
845,selfplay,300,AI 1,3
846,selfplay,300,AI 2,3
847,selfplay,300,AI 1,1
848,selfplay,300,AI 1,0
849,selfplay,300,AI 2,0
850,selfplay,300,AI 2,3
851,selfplay,300,AI 3,3
852,selfplay,300,AI 3,2
853,selfplay,300,AI 4,2
854,selfplay,300,AI 3,0
855,selfplay,300,AI 3,3
856,selfplay,300,AI 3,2
857,selfplay,300,AI 1,3
858,selfplay,300,AI 2,3
859,selfplay,300,AI 1,1
860,selfplay,300,AI 3,2
861,selfplay,300,AI 1,3
862,selfplay,300,AI 2,3
863,selfplay,300,AI 3,3
864,selfplay,300,AI 4,3
865,selfplay,300,AI 3,1
866,selfplay,300,AI 3,0
867,selfplay,300,AI 3,3
868,selfplay,300,AI 1,0
