seed,mode,turns,winner,seat
582,selfplay,300,AI 2,3
583,selfplay,300,AI 4,0
584,selfplay,300,AI 3,2
585,selfplay,300,AI 4,2
586,selfplay,300,AI 2,3
587,selfplay,300,AI 1,1
588,selfplay,300,AI 4,3
589,selfplay,300,AI 4,2
590,selfplay,300,AI 3,0
591,selfplay,300,AI 4,0
592,selfplay,300,AI 1,0
593,selfplay,300,AI 3,1
594,selfplay,300,AI 1,2
595,selfplay,300,AI 4,0
596,selfplay,300,AI 1,0
597,selfplay,300,AI 4,2
598,selfplay,300,AI 4,1
599,selfplay,300,AI 2,2
600,selfplay,300,AI 1,0
601,selfplay,300,AI 2,0
602,selfplay,300,AI 1,2
603,selfplay,300,AI 2,2
604,selfplay,300,AI 1,0
605,selfplay,300,AI 3,1
606,selfplay,300,AI 3,0
607,selfplay,300,AI 2,2
608,selfplay,300,AI 3,2
609,selfplay,300,AI 1,3
610,selfplay,300,AI 2,3
611,selfplay,300,AI 1,1
612,selfplay,300,AI 3,2
613,selfplay,300,AI 4,2
614,selfplay,300,AI 1,2
615,selfplay,300,AI 4,0
616,selfplay,300,AI 4,3
617,selfplay,300,AI 2,0
618,selfplay,300,AI 3,0
619,selfplay,300,AI 3,3
620,selfplay,300,AI 1,0
621,selfplay,300,AI 3,1
622,selfplay,300,AI 2,3
623,selfplay,300,AI 3,3
624,selfplay,300,AI 3,2
625,selfplay,300,AI 1,3
626,selfplay,300,AI 3,0
627,selfplay,300,AI 2,2
628,selfplay,300,AI 4,3
629,selfplay,300,AI 1,3
630,selfplay,300,AI 2,3
631,selfplay,300,AI 2,2
632,selfplay,300,AI 2,1
633,selfplay,300,AI 1,3
634,selfplay,300,AI 2,3
635,selfplay,300,AI 3,3
636,selfplay,300,AI 2,1
637,selfplay,300,AI 3,1
638,selfplay,300,AI 3,0
639,selfplay,300,AI 1,1
640,selfplay,300,AI 2,1
641,selfplay,300,AI 1,3
642,selfplay,300,AI 4,1
643,selfplay,300,AI 3,3
644,selfplay,300,AI 3,2
645,selfplay,300,AI 1,3
646,selfplay,300,AI 2,3
647,selfplay,300,AI 4,0
648,selfplay,300,AI 2,1
649,selfplay,300,AI 4,2
650,selfplay,300,AI 4,1
651,selfplay,300,AI 1,1
652,selfplay,300,AI 3,2
653,selfplay,300,AI 3,1
654,selfplay,300,AI 4,1
655,selfplay,300,AI 1,1
656,selfplay,300,AI 2,1
657,selfplay,300,AI 3,1
658,selfplay,300,AI 1,2
659,selfplay,300,AI 4,0
660,selfplay,300,AI 4,3
661,selfplay,300,AI 2,0
662,selfplay,300,AI 4,1
663,selfplay,300,AI 2,2
664,selfplay,300,AI 2,1
665,selfplay,300,AI 4,2
666,selfplay,300,AI 3,0
667,selfplay,300,AI 2,2
668,selfplay,300,AI 4,3
669,selfplay,300,AI 2,0
670,selfplay,300,AI 2,3
671,selfplay,300,AI 3,3
672,selfplay,300,AI 2,1
673,selfplay,300,AI 4,2
674,selfplay,300,AI 4,1
675,selfplay,300,AI 2,2
676,selfplay,300,AI 1,0
677,selfplay,300,AI 2,0
678,selfplay,300,AI 3,0
679,selfplay,300,AI 3,3
680,selfplay,300,AI 4,3
681,selfplay,300,AI 4,2
682,selfplay,300,AI 3,0
683,selfplay,300,AI 2,2
684,selfplay,300,AI 3,2
685,selfplay,300,AI 2,0
686,selfplay,300,AI 3,0
687,selfplay,300,AI 2,2
688,selfplay,300,AI 1,0
689,selfplay,300,AI 4,2
690,selfplay,300,AI 1,2
691,selfplay,300,AI 2,2
692,selfplay,300,AI 2,1
693,selfplay,300,AI 1,3
694,selfplay,300,AI 3,0
695,selfplay,300,AI 2,2
696,selfplay,300,AI 1,0
697,selfplay,300,AI 2,0
698,selfplay,300,AI 1,2
699,selfplay,300,AI 1,1
700,selfplay,300,AI 3,2
701,selfplay,300,AI 2,0
702,selfplay,300,AI 3,0
703,selfplay,300,AI 1,1
704,selfplay,300,AI 1,0
705,selfplay,300,AI 1,3
706,selfplay,300,AI 3,0
707,selfplay,300,AI 3,3
708,selfplay,300,AI 1,0
709,selfplay,300,AI 2,0
710,selfplay,300,AI 4,1
711,selfplay,300,AI 3,3
712,selfplay,300,AI 4,3
713,selfplay,300,AI 4,2
714,selfplay,300,AI 2,3
715,selfplay,300,AI 4,0
716,selfplay,300,AI 1,0
717,selfplay,300,AI 1,3
718,selfplay,300,AI 4,1
719,selfplay,300,AI 4,0
720,selfplay,300,AI 1,0
721,selfplay,300,AI 3,1
722,selfplay,300,AI 1,2
723,selfplay,300,AI 1,1
724,selfplay,300,AI 1,0
725,selfplay,300,AI 4,2
726,selfplay,300,AI 4,1
727,selfplay,300,AI 4,0
728,selfplay,300,AI 1,0
729,selfplay,300,AI 2,0
730,selfplay,300,AI 2,3
731,selfplay,300,AI 4,0
732,selfplay,300,AI 3,2
733,selfplay,300,AI 3,1
734,selfplay,300,AI 4,1
735,selfplay,300,AI 3,3
736,selfplay,300,AI 1,0
737,selfplay,300,AI 2,0
738,selfplay,300,AI 4,1
739,selfplay,300,AI 4,0
740,selfplay,300,AI 3,2
741,selfplay,300,AI 1,3
742,selfplay,300,AI 3,0
743,selfplay,300,AI 3,3
744,selfplay,300,AI 2,1
745,selfplay,300,AI 2,0
746,selfplay,300,AI 3,0
747,selfplay,300,AI 1,1
748,selfplay,300,AI 4,3
749,selfplay,300,AI 1,3
750,selfplay,300,AI 3,0
751,selfplay,300,AI 4,0
752,selfplay,300,AI 3,2
753,selfplay,300,AI 1,3
754,selfplay,300,AI 4,1
755,selfplay,300,AI 3,3
756,selfplay,300,AI 3,2
757,selfplay,300,AI 4,2
758,selfplay,300,AI 3,0
759,selfplay,300,AI 2,2
760,selfplay,300,AI 3,2
761,selfplay,300,AI 2,0
762,selfplay,300,AI 2,3
763,selfplay,300,AI 4,0
764,selfplay,300,AI 3,2
765,selfplay,300,AI 2,0
766,selfplay,300,AI 4,1
767,selfplay,300,AI 2,2
768,selfplay,300,AI 3,2
769,selfplay,300,AI 1,3
770,selfplay,300,AI 2,3
771,selfplay,300,AI 2,2
772,selfplay,300,AI 2,1
773,selfplay,300,AI 2,0
774,selfplay,300,AI 1,2
775,selfplay,300,AI 2,2
776,selfplay,300,AI 4,3
777,selfplay,300,AI 4,2
778,selfplay,300,AI 2,3
779,selfplay,300,AI 2,2
780,selfplay,300,AI 2,1
781,selfplay,300,AI 1,3
782,selfplay,300,AI 1,2
783,selfplay,300,AI 2,2
784,selfplay,300,AI 4,3
785,selfplay,300,AI 2,0
786,selfplay,300,AI 3,0
787,selfplay,300,AI 1,1
788,selfplay,300,AI 1,0
789,selfplay,300,AI 4,2
790,selfplay,300,AI 1,2
791,selfplay,300,AI 1,1
792,selfplay,300,AI 4,3
793,selfplay,300,AI 3,1
